biographical_information,borough,category,enactment_year,introduced_by_council_members,limits,new_name,present_name,zip_code,objectid,intro_number,notes,paths
"Zora Neale Hurston was an African-American folklorist and author during the time of the Harlem Renaissance and is best known as a leader of the Harlem Renaissance, her multifaceted use of ethnographic studies and for her 1937 novel, “Their Eyes Were Watching God.” ",Manhattan,Street,1217520000000.0,Dickens, Between 116th Street and 117th Street , Zora Neale Hurston Place  , 7th Avenue  ,10026.0,1939.0,Int. No. 877-A			,,"40.8033487960001,-73.95249821899999|40.803861637000075,-73.95213264399996"
Thurgood Marshall was an American jurist and the first African-American to serve on the United States Supreme Court.  He served for 24 years compiling a liberal record that included strong support for Constitutional protection of individual rights. ,,,,,,,,,,,,
 ,Manhattan,Street,1248969600000.0, Jackson ,Between 150th Street and 155th Street ,Thurgood Marshall Boulevard ,Edgecombe Avenue ,10031.0,1940.0,Int. No. 931-A,,"40.82690297200001,-73.94147460099998|40.829334383000045,-73.93971507199996|40.82954545300002,-73.93965069899996|40.82969563700002,-73.93967215599992|40.82991888200007,-73.9397687159999|40.830060947000035,-73.93996183499998|40.83019292500009,-73.94014124199994|40.8302445470001,-73.94012549799996"
"Casita Maria had a long-standing commitment to the South Bronx and East Harlem for over 73 years.  Because of her innovating programming and services, many families have experienced a better quality of life.  On March 1, 2007, the Bronx community celebrated the groundbreaking ceremony for The Bronx Studio School for Writers and Artists at a new building named for Casita Maria. ",Bronx,Street,1185984000000.0,Arroyo,From East 163rd Street to Barretto Street,Casita Maria Way ,Simpson Street ,10459.0,1941.0,Int. No. 556-A,,"40.81994648000009,-73.89382938799996|40.82087280500007,-73.89285403900001"
"The following biographical material was supplied by the Cifichiello family.
John Cifichiello, the son of Italian immigrants Vito and Rosa Cifichiello, was 
born at home in a New York City Greenwich Village apartment on August 24, 1906. At a 
young age his family, which grew to four boys and four girls, moved to the Fordham 
section of The Bronx where the family prospered and eventually bought their own home 
on Crotona Avenue. John worked in the printing trade and married Caroline Ciani, with 
whom he raised a son John and a daughter Carolyn. During World War II, he served in 
the United States Navy, in Ireland and England, and upon his discharge began a career 
with the United States Postal Service.
After the war John Cifichiello was a member, and later Commander, of the 
Catholic War Veterans, escorting veterans to Mass each Sunday at the Kingsbridge VA 
Hospital. He was also active in Mt. Carmel Church’s Holy Name Society and the St. 
Vincent DePaul Society of St. Lucy’s Church and was a past president of the St. Lucy’s 
Church Senior Citizens Association. Mr. Cifichiello also served as a member of 
Community Board #11, serving as the Chair of the Parks Committee for many years. He 
was a long-term member of the Red Cross, participating and organizing numerous blood 
drives for St. Lucy’s Church, and was also a past member of the Catholic Guild for the 
Blind. Mr. Cifichiello served with the Pelham Parkway Little League for over twenty 
years, first as a coach and then as President. Upon retiring from the Post Office in 1975, 
he began as a volunteer at the New York Botanical Gardens where he continued to serve 
until his death. He was proud to always march in the annual Bronx Columbus Day 
Parade.
12
John Cifichiello passed away on October 19, 2000. He was survived by a son, 
John, a daughter, Carolyn; two brothers, Neal and Fred; a sister Josephine Ardizzone, and 
six grandchildren. In recognition of his service to The Bronx community it is fitting that 
Mace Avenue, between Williamsbridge Road and Bronxwood Avenue, where he lived for 
many years, be named “John Cifichiello Way",Bronx,Street,998496000000.0,"Provenzano; also, Council Members Eisland, O’Donovan and Abel",from Bronxwood Avenue to Williamsbridge Road,John Cifichiello Way,Mace Avenue,10467.0,1942.0,Int. No. 939,,"40.8630994640001,-73.86149275799997|40.86304045300003,-73.85812780500001"
"Miriam Friedlander represented the East Village and Lower East Side in the New York City Council from 1974 – 1991 and was an advocate for gay and lesbian, women, tenants and homelessness issues.  She was a leader in the creation of shelters for women and children who were abused by their husbands and partners.  She championed housing for the poor and insisted that tenements tumbling into city tax foreclosure in her district be used as a resource for affordable housing.  In addition, she was a strong supporter of ACT UP, an organization committed to take action to end AIDS. ",Manhattan,Street,1343577600000.0,Mendez,Between 1st Avenue and 2nd Avenue ,Miriam Friedlander Way ,East 6th Street ,10003.0,1943.0, Int. No. 761-A,,"40.72735378100001,-73.98840944799998|40.72647567500005,-73.98631732499994"
"Geri Cilmi was a New York City Science Facilitator.  She participated in the District’s Professional Development of Observation Series Excellence in Education in which she presented many workshops at the New York City Association for Supervision and Curriculum Development Share Fair for Excellence At Fordham University.  She served as Vice President of E.S.S.A (Elementary School Science Association) where she created and presented “Saturday Science,” sponsored by both E.S.S.A and S.C.O.N.Y.C (Science Counsel of New York City) at Stuyvesant High School.  She was a speaker and presenter at conferences for the Foundation for the Future Comprehensive Early Childhood Education sponsored by the Office of N.Y.C. Field Studies and Board of Education.  She was involved with the Talented and Gifted Programs at Long Island University teaching and supervising gifted children.  She was involved with the New York Zoological Society with programs dealing with baby gorillas.  She also participated in the science pilot program F.O.S.S (Full Option Science System) as staff developer and facilitator for 8 years, working with 2nd, 4th and 5th grade teachers to create new and exciting ways to teach scientific principles to children.  She worked for and assisted the Ally Pond Environmental Center at St John's University with the preservation of water sanctuaries in Queens and was involved in activities at Crochron Park to help save water habitats.  Her program was Called C.L.E.A.N.U.P.S. (Children Learn Environmental Activities in Nature Under their own Protection and Supervision). She used the pond as an outdoor laboratory. The idea was that children gain a richer understanding about community responsibility.  In addition, she worked after school on remedial programs for students who needed additional instruction in reading and writing techniques.     ",Queens,Street,1375200000000.0,Halloran,  Between 34th Avenue and 35th Avenue , Mrs. Geri Cilmi Place PS 41  , 214 Lane ,11361.0,1944.0,Int. No. 1188-A		,,"40.77086202100003,-73.77096013299996|40.769696039000074,-73.77064899699992"
"Donald Leo lived life to the fullest and loved his family, his fiancé, his job and was generous in all aspects of life.  After graduating New Dorp in 1996, he attended Cortland University studying education, however, his goal was to pursue becoming a crane operator like his father.  In 2001, he became a member of Local 14 of the International Union of Operating Engineers.  He was tragically killed on May 30, 2008 when the crane he was operating at 91st Street and 1st Avenue in Manhattan came crashing down. ",Staten Island,Street,1217692800000.0,Oddo , Between North Railroad Avenue and Richmond Road , Donald C. Leo Way  , Prescott Avenue  ,10306.0,1945.0,Int. No. 825		,,"40.578151466000065,-74.11127219599996|40.579704239000066,-74.11415705999998"
Boulevard Of Bravery: This proposal is intended to honor the members of New York Fire Department Special Unit Rescue Company 4 located at 64-18 Queens Boulevard.  This unit was one of the first to respond to the terrorist attacks at the World Trade Center on September 11th.  It is also the unit that suffered some of the greatest losses in the City.  Seven members of Rescue 4 perished in the collapse of the Twin Towers.  That portion of Queens Boulevard that is located outside of Rescue 4 would be designated as the Boulevard of Bravery. ,Queens,Street,998496000000.0,"McCaffrey, Sabini, Wooten, Koslowitz, O’Donovan and Abel ",between 63rd Street and 65th Place,Boulevard of Bravery ,Queens Boulevard ,11377.0,1946.0,Int. No.993		,,"40.741461894000025,-73.90245735399995|40.74124512499999,-73.90053808399999"
"The following biographical material was provided by the Pickford Family. 

Christopher J. Pickford was born on Father’s Day, June 15, 1969, in, what was then, Booth Memorial Hospital in Flushing. Hew grew up in Kew Gardens in the home in which his parents, Thomas and Linda still reside. He attended Public School 90, Junior High School 226, Forest Hills High School and Queens Borough Community College. 

Beginning with his early years in grammar school, Chris was awarded honors in creative writing and music. These gifts remained his passion into his adult life. He was an accomplished guitarist and song writer and used these talents in several bands throughout the years. The first band was “Riboflavin and the Vitamin D’s” – a band formed in high school mostly just for fun, but soon gained a cult following throughout Queens for its witty lyrics and ridiculous stage presence. As he matured, his music did as well. He formed the band “10 Degree Lean”, appearing regularly in Manhattan’s East Village. He continued to write poetry and screen plays and began laying down tracks for an  acoustical guitar Cd. 

Chris worked for the Queens District Attorneys as a paralegal before being hired as a New York City Firefighter in January, 2000. He was assigned to Ladder Company 136 in Queens and was  on a rotation to Engine Company 201 in Brooklyn. On September 1, 2001 Engine Company 201 was called to the World Trade Center in response to the terrorists attacks. Chris was killed along with 342 other firefighters as he helped to evacuate people who were trapped in the towers.  ",Queens,Street,1030032000000.0,Katz,between 85th Avenue and Hillside Avenue,Firefighter Christopher J. Pickford Street,122nd Street,11415.0,1947.0, Int. No. 22-A,,"40.703420528000024,-73.82943825399997|40.702174615,-73.82889205799991"
"Angelo M. Falcon was the founder of the National Institute for Latino Policy, known for fastidious research and for a weekly newsletter with harsh criticism at those who were lacking on their commitments to Latinos. He presented elected officials with detailed reports on poverty rates, education stats and Latino participation civil service jobs to show disparities. After

watching a WWII documentary before it was shown on PBS stations, he joined a group of activists in complaining the film had left out contributions of Hispanic soldiers. They persuaded PBS to make changes to the documentary so that Latinos were represented. He organized protests against CNN anchor because of his positions on immigration which bothers Latino activists. Dobbs eventually left the network. He co-authored several books about the history of Latinos in New York and his data work on redistricting in the early 1990’s helped forge a path for politicians of color to be elected to Congress. As a child, he led a fight at his public school for Puerto Ricans to be able to take the Brooklyn Technical High School entrance exam, with him becoming the only one admitted. He also wrote a report in 2016 on Mayor de Blasio’s administration which argued that the percentage of city posts that went to non-Hispanic white people had actually grown during the mayor’s first two years in office.",Brooklyn,Street,1566230400000.0,Reynoso,At the corner of South 1st Street and Havemeyer Street,Angelo M. Falcόn Way,Havemeyer Street,11211.0,1948.0, Int. No. 1300,,"40.712767885000055,-73.95857308099991|40.711783865000015,-73.95588014299997"
"Leo Fracassi was born and raised in the Belmont section of the Bronx. He loved being a New York City Fire Fighter, in fact, Ladder 38 has a picture of him with his dog on the corner of Belmont and 182nd Street where you can see Ladder 38’s Fire House in the back ground. This photo was taken in the late 1920’s. Leo and his wife Pauline were active in the Belmont Community and he was well known by all who lived there. 

In 1941, Leo joined the Army and was promoted to Sergeant as a Tank Commander in General Patton’s 3rd Army. While in the Army he distinguished himself by winning the Bronze Star and other awards. After the war he wanted to become a New York City Fire Fighter. On January 1, 1947, Leo Fracassi became a Fire Fighter and was assigned to Engine Company 92 in The Bronx. On November 12, 1960 Leo was promoted to Lieutenant in the Fire Department, where he covered in various fire houses in The Bronx for the next 2-1/2 years. On August 17, 1963, Leo was assigned to Ladder Company 38 on Belmont Avenue. During his next 26 years, “Grandpa” as his fellow fire fighters would come to call him, was awarded more medals for bravery and was involved in more Unit Citations than anyone assigned to Engine Company 88 or Ladder Company 38. Lt. Fracassi was awarded “Fireman of The Month” twice, five times awarded for Meritorious Acts of Bravery and received five Unit Citations during his 26 years as a Lieutenant in Ladder Company 38. After his retirement from the FDNY he continued to live on Crotona Avenue until he passed away on November 2, 2002. 

 ",Bronx,Street,1061568000000.0,Rivera,between East 187th Street and East 189th Street   ,Leo Fracassi Way  ,Crotona Avenue,10458.0,1949.0,Int. No. 565,,"40.85605997400004,-73.882547002|40.85399435300006,-73.88358087299994"
"James Conway Sullivan was born on January 7th 1952. He was the first of four children born to Rosemary and James Sullivan. James was born in Sunnyside Queens and attended Queen of Angels Grammar School, Marter Christi High School, and St. John’s University where he majored in Political Science and his lifelong love of politics began. James and his family moved to Rockaway Beach when he was sixteen. A few months later his father died unexpectedly and James took over his father’s role and helped to raise his three younger siblings. 

At the age of twenty two he ran for State Senator against a much older Perry Duryea. He then became Republican District Leader. James remained an active and prominent figure in the Republican Party until his untimely death on December 2, 2001. 

James owned and operated two bars and restaurants in the Rockaways. They were The Paololy Wagner Bar and The Claddagh Inn. He was also president of the Ancient Order of the Hibernians and Treasure for The Knights of Columbus. James was also the founder and president Emeritus of the James Conway Sullivan Queens County St. Patrick’s Day Parade which he began twenty-seven years ago, and which was once deemed “Sullivan’s Follies.” It has grown to be the second largest St. Patrick’s Day Parade and was recently renamed in his honor. James was also on the board of Directors of The Claddagh Inn Soup Kitchen in which he ran numerous fundraisers to help those in need. James Conway Sullivan was a political activist, a local businessman, humanitarian, and a friend to all. ",Queens,Street,1061568000000.0," Addabbo, Jr. ",Between Beach 102nd Street and Beach 105th Street    ,James Conway Sullivan Boulevard	,Rockaway Beach Boulevard	,11694.0,1950.0,Int. No. 565		,,"40.583057764000074,-73.82592511999995|40.58384813100003,-73.82321072499997"
"Moises Locon and Nicholas Figueroa were tragically killed in an explosion in the East Village.  The explosion led to the collapse of three buildings and severely damaged a fourth building, and also injuring 22 people.  As a result of this explosion and other gas-related incidents, the City enacted an extensive set of gas safety reforms. ",Manhattan,Street,1500825600000.0,Not Stated,Between Second Avenue and Third Avenue at the northwest corner of East 7th Street and Second Avenue,Moises Locon Way,East 7th Street ,10003.0,1951.0,Int. No. 1744,,"40.72887842600005,-73.99020547699999|40.728057254000056,-73.98827965099996"
"Jonathan Narain was a corrections officer at Rikers Island who was shot and killed on his way to work in a road rage incident. He was a regular attendee at Shree Durga Mandir, a Hindu religious institution and was a leader within the Mandir and worked with students and worshippers offering counseling, mentoring and even career advice about working for the City of New York. His commitment to the Mandir was reflected in his funeral where hundreds of members attended. He was an inaugural member of Naturally Recklez, a popular charitable Caribbean music group in Queens where he played the dholak, a percussion instrument. It was here he began mentoring and coaching teenagers, leaving behind a legacy as a role model and provided young people access to music education in the neighborhood. Within the Department of Correction, he was an active member of the Desi Society, a South Asian and Indo-Caribbean organization that seeks to increase minority recruitment in the Department and build understanding of the role within our communities.",Queens,Street,1562601600000.0,Adams,Between Liberty Avenue and 107th Avenue,Correction Officer Jonathan  Narain Way,111th Street,11419.0,1952.0, Int. No. 1300,,"40.68464129500007,-73.83107499599997|40.682582912000065,-73.83007721499992"
Paul Warhola was a dedicated firefighter who served the community of Williamsburgh for fifteen years.  He was a responder to the 9/11 attacks on the World Trade Center and also helped during the rescue and recovery operation at Ground Zero.  He died on the way to a call as a result of a stroke.  ,Brooklyn,Street,1262365200000.0,Reyna ,Between Bedford Avenue and Driggs Avenue ,Firefighter Paul Warhola Way ,South 2nd Street ,11249.0,1953.0, Int. No. 428-A,,"40.713251982000045,-73.96201463299991|40.71274981100006,-73.96063463599997"
"Cesiah Toro Mullane, a long time resident of Cypress Hills, was born in Guayama, Puerto Rico on April 20, 1929. She was the youngest daughter in a family of eleven children. Cesiah completed high school in Rio Piedras and attended the University of Puerto Rico for two years. Afterwards, she came to New York to join her family and worked at various jobs, including clothes designing and sample making. 

Cesiah met Michael Mullane when they both worked in New York City’s Garment Center and they were married in 1954. “Cesi” (as she was known to most) and Mike made their home in his native Brooklyn and moved to Cypress Hills in 1957. She returned to college when her youngest child was two years old, and completed her Associates Degree in Spanish and Secondary Education at York College in 1976. 

Cesi Chaired the Cypress Hills Community Coalition, was a member of the Governance Council of the Cypress Hills Community School and the Board of the Cypress Hills Child Care Corporation. She was a member of the Cypress Hills Advocates for Education (CHAFE), wrote and translated the community bilingual newspaper “Neighbors and Merchants”, and translated Blessed Sacrament Church’s weekly bulletin. Cesi also founded and joyously sang in the Spanish Choir of the Church for more than a decade. During her last year, she also served on the Planning Committee of the Department of Probation’s Neighborhood Shield Community Advisory Board and as a member of Community Board # 5. Cesi died on December 2, 2003. She was survived by her husband Michael, five children, nine grandchildren, and five great-grandchildren. ",Brooklyn,Street,1091980800000.0, Dilan ,between Hemlock Street and Crescent Street ,Cesiah Toro Mullane Place ,Adler Place ,11208.0,1954.0,Int. No. 471-A,,"40.684856884000055,-73.87245398699999|40.68498298800006,-73.87153130699993"
"Cornell Edwards was a community activist in the Lower East Side.  He was a leader in the Third Avenue Artists, Tenants and Businessmen’s Association, he founded and served as the chair of the East 13th Street Block Association and was honored by the New York Chapter of the Boy Scouts of America.  He dedicated his life to expanding opportunities for youth, especially for low-income African-Americans.  He was chairperson of Community Board 3’s Land Use/Housing Committee and was active in the upzoning of a stretch of Third Avenue from 14th Street to St. Mark’s Place.  He was also involved with the Cooper Square Committee.  He was featured in “Twilight Becomes Night,” a 2008 documentary about the loss of neighborhood stores in New York City.  He was an advisor to the Seneca Village Project, which is dedicated to the study of 19th century Africa-American and Irish immigrant community which was located in Central Park and was a trustee at Mother A.M.E. Zion Church, the oldest black church in New York State. ",Manhattan,Street,1343577600000.0,Mendez,Between Third Avenue and Fourth Avenue,Cornell Edwards Way ,East 13th Street ,10003.0,1955.0,Int. No. 935,,"40.73347473200001,-73.98973244499997|40.73266581100003,-73.98780125499992"
Richard Ocana was the victim of a hate crime when he was beaten and killed by three men after he fell asleep on a park bench.,,,,,,,,,,,,
,Brooklyn,Street,1704128400000.0,Restler,Between Franklin Street and West Street,Richard Ocana Way,Milton Street,11222.0,1956.0,Int. No. 1278,,"40.729025533000005,-73.95904913099999|40.729166459000076,-73.95756497599996"
"Peter Magnani left an indelible mark on the built environment of Queens through his life’s work as an architect and city planner. He shepherded the creation of many of the most important public buildings in the borough over the past 35 years. Peter viewed all his projects through the lens of how they would promote the welfare and quality of life of the community. Fairness, equality and balance were his motivating principles. Queens is home to more green spaces, beautiful libraries and other architecturally noteworthy public buildings thanks to his vision and expertise. Peter started his career in the public sector in 1968 in the Bronx Office of City Planning, rising by 1977 to the position of director. In 1980, he assumed the same post at the Queens Office of City Planning, the borough where he was born and where he lived. In this role, Peter advocated for a mixed-zoning plan for Long Island City to protect the area’s factories and industrial production and the current owners of single-family homes from unchecked high-rise development. His plan permitted construction or expansion of light industry and one- and two-family houses. The plan also called for the preservation for public use of Long Island City’s waterfront, which was no longer heavily used by industry. With an eye to balance and job growth, Peter also got Planning Commission approval for the Citicorp Office Tower in Long Island City. His work set the stage for the current development of Long Island City. In 1986, Claire Shulman asked Peter to become her deputy. Over the next 16 years as deputy borough president, he planned and implemented the Queens West mixed-use waterfront development and championed the building of the new Queens Hospital Center, the Flushing Meadow Corona Park Olympic swimming pool and ice rink, the Queens Hall of Science addition and Queens Borough Public Library at Flushing. Following Peter’s advice, Shulman allocated funding in the 1990s to restore sections of the 34th Avenue median between 69th Street and Junction Boulevard that had been removed in the 1960s. In the spring of 2020, thanks in part to that green median bisecting the street, 34th Avenue became one of New York City’s most successful Open Street projects. In 2002, he became the director of capital program management for the Queens Borough Public Library. In that role, he oversaw the largest and most successful building program in the history of the library. The Children’s Library Discovery Center in Jamaica, Queens, and notable new branch libraries in Long Island City, Glen Oaks, Elmhurst, Far Rockaway and Hunters Point were all built during his tenure. Peter was instrumental in the selection of Steven Holl and his “Beacon of Light” design concept for the new Hunters Point branch near the waterfront. “The idea is to use natural elements, such as the sun, wind and greenery on the roof to help insulate the building,” Peter wrote. In addition to the construction of new library buildings, he brought all the branches of the Queens Borough Public Library into the 21st century by installing machines that library patrons could use to check out books on their own. In addition to his work as a city planner and builder, he played an instrumental role in the Towers Coop, his home of nearly 53 years in Jackson Heights. In the 1970s, he led a successful tenant-sponsored conversion of this complex of 120 rental apartments into a cooperative and became the founding president of the coop’s board. Jackson Heights was referred to as the “Cocaine Capital” by New York Magazine at the time, and the success of the Towers conversion to coop status helped stabilize the neighborhood. In 2010, the New York Chapter of the American Institute of Architects awarded Peter its Public Architect Award for achieving architectural design excellence in the public realm. ",Queens,Street,1657900800000.0,Dromm,Between Northern Boulevard and 34th Avenue ,Peter Magnani Way ,81st Street ,11372.0,1957.0,Int. No. 2477,,"40.755360077000006,-73.88628278599995|40.75373463000008,-73.88597969599991"
"Jan Rodrigues/Juan Rodriguez was a mulatto or Black man from Santo Domingo (the Spanish island-colony also known as La Española in Spanish and as Hispaniola in English) that arrived in the Hudson River Harbor in 1613 as part of the crew of a merchant Dutch ship exploring the area for its trade potential.  After a few weeks in the area, the captain decided to return to Holland, but Rodriguez refused, arguing he was a free man and warning that if he was forced to go on the ship he would jump overboard.  His Dutch captain accepted his demands and in payment for the work done as part of the ship’s crew, Rodriguez was compensated with a number of hatchets, presumably to trade them with the local Algonquian Amerindians.  The ship left with the entire crew for Holland leaving Rodriguez in the area.  The following year, 1614, another Dutch merchant ship arrived in the Hudson, found Rodriguez, and hired him to assist in trading with the local Amerindians.  Shortly afterwards, the same captain that had brought over Rodriguez as sailor in 1613, arrived for a second time on a ship in the Hudson. A dispute erupted between the two Dutch captains and crews over the primacy in the right to trade with the local Amerindians. Rodriguez himself was involved in the scuffle.  Once the crews were back in Holland, they took their contention to court and a notarial record was generated with their depositions about the past events in the Hudson.  These depositions, held at the Archives of the City of Amsterdam, became the only source known so far on the story of Juan Rodriguez. They were first published by Simon Hart in 1959 in his book The prehistory of the New Netherland Company. (Amsterdam: City of Amsterdam Press).  No other documents have been found about the life of Rodriguez after 1614.  Further research work in archival documents pertaining to Hispaniola in the late sixteenth and early seventeenth century conducted by the CUNY Dominican Studies Institute at The City College of New York have revealed the existence of a number of individuals with the name Juan Rodrigues or Rodriguez  (spelled indistinctly, with S or Z, in the Spanish documents) in the island-colony of Santo Domingo at the time, including three explicitly tried by the authorities for smuggling of goods with Dutch merchants in the island.  The historical record clearly shows Jan Rodrigues/Juan Rodriguez residing somewhere at the Hudson Bay area between 1613 and 1614.  As a result, Rodriguez is considered the first non-Amerindian person to ever have resided in what is today New York City.  The arrival of Juan Rodriguez in 1613 indicates that the Dominican/Latino population’s relationship with the second capital of the country, as New York is called, began many years ago and that those who left the country of origin afterwards merely followed the trail of Juan Rodriguez, first non-native man in residing in the city. A conclusive statement on the role played by Rodríguez is that in 1613 it had been expressly declared that no other member of the Dutch crew had stayed behind in the Hudson area.  This is confirmed by the documents found in the Archives of the City of Amsterdam, where the Dutch sailors declare that when the Dutch ship sailed away from the river, a mulatto born in Santo Domingo stayed ashore at the same place. ",Manhattan,Street,1375113600000.0,Rodriguez, Between 159th Street and 218th Street , Juan Rodriguez Way  , Broadway  ,10032.0,1958.0,Int. No. 1045-A		,,"40.83527622800008,-73.94386629299994|40.83626450900006,-73.94315550799998|40.83684364100006,-73.94273898200001|40.838149710000046,-73.941768805|40.839422202,-73.940823552|40.840563856000095,-73.94000240599996|40.84148571600007,-73.93938163899999|40.84186516600006,-73.93931190199997|40.84243332200002,-73.9392663039999|40.842928448000094,-73.93922656799995|40.84327599100001,-73.93919867499993|40.84361831800002,-73.93912146499996|40.844071458000045,-73.93901926099994|40.84467780500009,-73.93888250099994|40.845417302000016,-73.938715707|40.84620534900007,-73.93846968799998|40.84697886000002,-73.93822820500002|40.84753154100006,-73.93805566|40.848262729000034,-73.93778304299994|40.8484558160001,-73.93763958999996|40.848735470000065,-73.93728415199995|40.84945370700008,-73.93649021799997|40.85013008300005,-73.93574254799998|40.85066495200005,-73.93549511899997|40.85155359100003,-73.93504718999998|40.85208521600002,-73.93477921499993|40.85266989900004,-73.93448449199998|40.852950133000036,-73.934343234|40.85315537300008,-73.93423977699997|40.85340675400009,-73.93411306099993|40.853894832000016,-73.93384824199997|40.85417301500005,-73.93369730699999|40.854563949000095,-73.93357524599995|40.85499027500006,-73.93344213399993|40.855419051000055,-73.93329579099994|40.855787824000025,-73.93315828099993|40.856127717000085,-73.93296793599997|40.856637221000035,-73.93271109399993|40.8569766140001,-73.9325210269999|40.85719146500002,-73.93240070599991|40.85753626400003,-73.93224118599991|40.858478572000124,-73.93172988000002|40.85895913900006,-73.93148761599998|40.859199998000065,-73.93137617999994|40.85957125400008,-73.93123200299989|40.860526034000024,-73.93085794099994|40.86119239000003,-73.9304543659999|40.861975181000055,-73.93002959199993|40.86228193100006,-73.92997319899997|40.86263998000001,-73.92994445499991|40.863011495000066,-73.93000463699997|40.863392850000025,-73.93001804799995|40.863699844000074,-73.92989776799999|40.86408384900003,-73.92958414699999|40.86449508100005,-73.92912946999995|40.86474918000006,-73.92877814399996|40.86496622200006,-73.92833155600002|40.86538914800008,-73.927576514|40.865646757000036,-73.92697972199988|40.86585365400004,-73.92637756699997|40.86624817800002,-73.92526579099994|40.8668296750001,-73.92362710599994|40.867218756000085,-73.92258224100001|40.86747609500001,-73.92183325999996|40.86792254500009,-73.92057512399994|40.86812542700005,-73.91965595099995|40.86846517200006,-73.91858843199996|40.868747586000055,-73.917934143|40.86937806800009,-73.91663677799993|40.86979371100006,-73.9159209749999|40.870413611000025,-73.91517403299993|40.87076220800001,-73.91470593399993|40.87102707000001,-73.91441306199991|40.871221927000114,-73.91417826699993"
"Forte Bellino was a teacher, coach and mentor.  He taught history for three years at St. Francis of Assisi Grammar School.  In 1976, he was hired as the freshman basketball coach at Bishop Ford by Coach Ray Nash.  In 1984, Forte’s freshman team won the only AA City Championship basketball title in the 48 year history of the school.  Under his leadership, his team won six championships and reached the City’s semi-finals three times.  In 1997, he became the Varsity Assistant Coach under Ray Nash and in 2001, became the third Varsity coach in Bishop Ford history.  He also taught history and was the Director of Alumni Relations at Bishop Ford.  In 2010, the Forte Bellino scholarship was established.  The recipient must embody the character and compassion of Forte Bellino, demonstrate financial need and must also exhibit the potential to be successful and demonstrate involvement in the community.",Brooklyn,Street,1343577600000.0,Gonzalez,Between Prospect Park West and 10th Avenue ,Forte Bellino Way ,19th Street ,11215.0,1959.0,Int. No. 935,,"40.65709108699998,-73.98334145300001|40.65588648400009,-73.98135661799991"
"Commerce Street was originally designated as “Cherry Lane” because of the abundance of cherry trees in the vicinity.  The street developed into a thriving commercial character and was thereby renamed Commerce Street.  On this street is Cherry Lane Theater, one of the oldest theaters in Manhattan, and unquestionably one of the most picturesque.  It is a listed building in an area of New York that has an exceptionally rich artistic history.  The theater is 78 years old and is a valued venue for acclaimed and emerging writers and a vital laboratory for the development of new works.  Although its location sometimes makes it hard to find, making the street reflect the namesake of the theater would be a great honor. 

 ",Manhattan,Street,1061568000000.0,Quinn,Between 7th Avenue and Barrow Street          ,Cherry Lane	,Commerce Street  ,10014.0,1960.0,Int. No. 437-A			,,"40.7322457330001,-74.00365776099993|40.73185142900008,-74.0038696559999"
"Johnny Maestro began his singing career with the Crests, one of the first interracial groups of the recording industry, recording rock’ n’ roll hits such as, Sixteen Candles, The Worst That Could Happen, Trouble In Paradise, etc.  He performed at numerous fund raising events on Staten Island such as the Borough President’s “Back to the Beach” concert.  He also performed for the FDNY, NYPD, the United States Military, Italian America Association and church and school fundraisers.  He performed on the Jerry Lewis Telethon and the “We Are the World” music video/album for worldwide hunger relief.  Johnny Maestro and the Brooklyn Bridge were featured in one of PBS’s biggest fundraising events called the Doo Wop 50.  He is also in the Vocal Group Hall of Fame, 2005, the Long Island Hall of Fame, 2006, the South Carolina Rhythm and Blues Hall of Fame to name a few.   ",Staten Island,Street,1262365200000.0,Oddo ,Between Midland Avenue and Lincoln Avenue ,Johnny Maestro Way ,Mason Avenue ,10306.0,1961.0, Int. No. 428-A,,"40.574705831000045,-74.09768544799994|40.574170020000054,-74.09816556299991"
"Lance Corporal Julian T. Brennan grew up in south Park Slope and was an avid cyclist.  He was assigned to the 3rd Battalion, 8th Marine Regiment, 2nd Marine Division, II Marine Expeditionary Force, Camp Lejeunne, North Carolina.  He was killed by a roadside bomb blast during a combat mission in Afghanistan’s Farah Province.  He was 23 years old. ",Brooklyn,Street,1343577600000.0,Lander,Between 14th Street and the circle on the southwest corner of Prospect Park,Julian Brennan Way,Prospect Park West ,11215.0,1962.0, Int. No. 761-A,,"40.66130630300003,-73.97959961299992|40.66156673900007,-73.97939039999999"
"Mildred Sutherland was a dedicated community activist who was elected president of the Block Association of West 152nd Street in 1975.  In addition she served as the DC37 and UFT Union Leader for several years, served as a Girl Scout leader from 1967 until 1972, was the Executive Vice President of the Friends of Music for Junior High School Pupils in Manhattan and was honored by Friends of Music, Inc. for her devoted service to the Salute to Music Program as a volunteer and member of its Board of Directors.  In 1994, she was honored with an Award of Recognition for her hard work and commitment to students by the Parent’s Association of PS 132 and in 1998, was recognized for her dedication and support to the educational needs of the students of PS 132.  In 2004, she received an Excellence in Education Award from the White House for her contributions to the students of the All The Way Program and Manhattan Borough President, Scott M. Stringer declared December 12, 2010, “Mildred Sutherland Appreciation Day” for her outstanding leadership and community work. ",Manhattan,Street,1375113600000.0,Jackson,  Between Broadway and Amsterdam , Mildred Sutherland Way   ,West 152nd Street ,10031.0,1963.0,Int. No. 1045-A			,,"40.83078412200009,-73.94704529699996|40.82970443199999,-73.94449988099991"
